evnum  e_px   e_py   e_pz  piPlus_px  piPlus_py  piPlus_pz  piMinus_px  piMinus_py  piMinus_pz  x     y     Q2    W     Mmiss  Zpair   Mh     gamma  epsilon  dp_A   dp_C  dp_W  s_Harut  s_PRL  s_Fiducial
5      0.44   0.52   1.13  -0.62      -0.48      3.64       -0.10       -0.56       1.22        0.23  0.88  4.03  3.78  2.20   0.55    0.77   0.22   0.22     0.66   0.48  0.38  0        0      1
5      0.44   0.52   1.13  -0.06      0.35       0.97       -0.10       -0.56       1.22        0.23  0.88  4.03  3.78  2.84   0.26    0.93   0.22   0.22     0.66   0.48  0.38  0        0      1
190    -0.27  -0.72  1.65  0.09       0.62       1.76       0.25        0.35        0.92        0.22  0.83  3.63  3.71  2.67   0.33    0.40   0.22   0.31     0.83   0.47  0.53  0        0      1
190    -0.27  -0.72  1.65  0.09       0.62       1.76       0.42        0.02        0.54        0.22  0.83  3.63  3.71  2.61   0.29    0.81   0.22   0.31     0.83   0.47  0.53  0        0      1
190    -0.27  -0.72  1.65  -0.24      -0.26      1.04       0.25        0.35        0.92        0.22  0.83  3.63  3.71  2.86   0.24    0.83   0.22   0.31     0.83   0.47  0.53  0        0      1
190    -0.27  -0.72  1.65  -0.24      -0.26      1.04       0.42        0.02        0.54        0.22  0.83  3.63  3.71  2.71   0.21    0.82   0.22   0.31     0.83   0.47  0.53  0        0      1
208    0.57   -0.74  3.52  0.06       0.12       0.67       -0.42       -0.18       1.82        0.20  0.66  2.59  3.37  2.55   0.37    0.56   0.23   0.60     1.81   0.43  1.22  0        0      1
298    -0.26  -0.86  4.71  0.18       0.24       1.44       -0.34       0.07        0.58        0.16  0.55  1.80  3.16  2.35   0.37    0.70   0.23   0.74     4.11   0.39  2.49  0        0      1
298    -0.26  -0.86  4.71  0.23       -0.14      0.58       -0.34       0.07        0.58        0.16  0.55  1.80  3.16  2.41   0.23    0.66   0.23   0.74     4.11   0.39  2.49  0        0      1
300    -0.31  0.68   2.42  0.56       -0.33      3.10       -0.27       -0.28       0.91        0.16  0.76  2.39  3.69  2.45   0.52    0.92   0.19   0.44     1.99   0.46  1.37  0        0      1
303    0.64   -0.97  7.74  -0.13      0.18       0.59       0.01        -0.37       0.82        0.35  0.26  1.85  2.06  0.96   0.56    0.62   0.49   0.95     4.89   0.20  1.41  0        0      1
333    -0.20  -0.96  3.79  0.05       0.31       0.62       0.64        0.39        1.05        0.21  0.63  2.67  3.28  2.20   0.30    0.52   0.24   0.63     1.72   0.42  1.14  0        0      1
